"wl","cor"
176.36,NA
176.58,NA
176.8,NA
177.02,-81.8215448357509
177.24,-242.867108475755
177.47,241.455281648201
177.69,-399.918633035045
177.91,223.073167067306
178.13,-42.675644574379
178.35,-300
178.57,-234.492338777569
178.79,10189.9999999923
179.01,-27.5002288888207
179.23,-114.03606459074
179.46,52.1706825177775
179.68,113.266068759342
179.9,37.9751529760799
180.12,47.4592402549044
180.34,-79.7112730875384
180.56,89.5847815398179
180.78,232.142649537871
181,-372.234655815533
181.22,65.5838802752143
181.44,192.149353757779
181.66,359.458924447378
181.89,53.2370815330033
182.11,-114.990234375001
182.33,93.082533589252
182.55,467.875828392057
182.77,553.12428473335
182.99,4.45992597891393
183.21,55.1468476231513
183.43,923.750290630055
183.65,-729.992675781249
183.87,-113.556236034097
184.09,657.127910018307
184.31,55.2096843925635
184.53,336.661783854168
184.76,-232.356742783285
184.98,-79.8505967021952
185.2,429.419790320266
185.42,26.3441142497114
185.64,37.0377068451037
185.86,87.2846074598854
186.08,-40.4238740844635
186.3,85.7225903964597
186.52,65.7133556547608
186.74,-268.330891927082
186.96,-1171.49168701313
187.18,-622.226241070635
187.4,79.4126095073959
187.62,126.506059536418
187.84,63.0965529268147
188.06,-235.902090897706
188.28,40.0000000000003
188.51,-375.568335955726
188.73,62.2233072916657
188.95,672.195849721998
189.17,414.300662713645
189.39,39.1670566214321
189.61,126.664225260418
189.83,-7.89394783055671
190.05,-3100.73260073275
190.27,88.7767812655702
190.49,134.285116376404
190.71,55.5540485555402
190.93,-399.9694842844
191.15,147.912110269061
191.37,1899.84742142202
191.59,69.9991861979183
191.81,113.685076199534
192.03,-54.3207643849651
192.25,167.674475955612
192.47,-19.2309498098503
192.69,699.962441314521
192.91,-291.171507557533
193.13,213.23782852219
193.35,166.303107502057
193.57,600.40716612375
193.79,101.503414347603
194.01,38.6478899818366
194.23,103.446050231514
194.45,73.9421969293194
194.67,783.303946833037
194.89,217.305976806419
195.11,47.0577675654326
195.33,107.633673146096
195.55,563.984374999986
195.77,58.5375294012566
195.99,27.9669783994036
196.21,103.772715756501
196.43,-151.429966517861
196.65,1776.82629107972
196.87,30.3570650041422
197.09,107.633673146094
197.31,-537.540057988716
197.53,-98.3075395183311
197.75,-255.177639333222
