"wl","cor"
176.36,NA
176.58,NA
176.8,NA
177.02,-377.78908104442
177.24,25.8435288308549
177.47,450.010172939982
177.69,-13.9993652188771
177.91,-81.5216814394146
178.13,33.7929989392334
178.35,874.679682733323
178.57,1033.34689725331
178.79,241.469659977371
179.01,-41.2825337096268
179.23,90.7405732887231
179.46,149.996185244525
179.68,-69.1164327002467
179.9,119.23094980985
180.12,3.92072382593688
180.34,-496.416426889892
180.56,119.64511487989
180.78,75.4710028098952
181,17.3152532341251
181.22,154.996744791667
181.44,95.1726692596526
181.66,80.4864977521062
181.89,604.181078331615
182.11,-24.2116625118856
182.33,100
182.55,31.5083612040127
182.77,329.996744791668
182.99,49.9987543907723
183.21,143.130684538058
183.43,33.9286752310645
183.65,64.2869599337311
183.87,-41.2288779902776
184.09,1066.47681041488
184.31,-53.3325195312498
184.53,114.28695993373
184.76,47.2721622941374
184.98,18.9016583797304
185.2,151.514180024661
185.42,27.0273837017491
185.64,238.894540522205
185.86,123.401381746403
186.08,101.150554230391
186.3,-21.2768167887385
186.52,154.992675781251
186.74,-2.81622337224682
186.96,140.541075552625
187.18,0
187.4,-1719.97070312519
187.62,-66.6666666666691
187.84,39.4468286419086
188.06,56.8749523155565
188.28,128.813208640237
188.51,-21278.7804878124
188.73,-164.198089037585
188.95,27.583449088691
189.17,-3425.7631257633
189.39,-26.9241603806061
189.61,-449.984078123339
189.83,-38.0960685151816
190.05,84.6722742987488
190.27,0
190.49,90.3228982083088
190.71,-40.8171400099658
190.93,141.096989966556
191.15,93.3339361605938
191.37,-9.39717183633956
191.59,24.5272589078019
191.81,-264.300662713631
192.03,133.331689272505
192.25,114.723503684621
192.47,-11.7657618842455
192.69,48.1939051653135
192.91,-145.311665522241
193.13,85.6096532827481
193.35,33.3333333333331
193.57,-124.236147074057
193.79,232.862474277146
194.01,169.566694265758
194.23,291.678535096635
194.45,127.272727272726
194.67,414.577081531967
194.89,-5.88100127816606
195.11,50
195.33,53.2451884967803
195.55,-411.094534110942
195.77,-693.423408757936
195.99,100
196.21,22.666015624999
196.43,-105.882437420115
196.65,25.1970471759775
196.87,-690.834442964886
197.09,-197.509613623876
197.31,95.414940082876
197.53,72.1521725693802
197.75,44.3317392398687
197.97,-17.356389096266
