"wl","cor"
176.36,NA
176.58,NA
176.8,NA
177.02,-123.731689150045
177.24,-4.25432445067827
177.47,5508.06845966235
177.69,-83.335593955998
177.91,111.430697328343
178.13,122.985828539357
178.35,137.335199713531
178.57,82.1426495378706
178.79,280.862337662339
179.01,5.66150727842392
179.23,-72.2229757222268
179.46,81.8194429031176
179.68,288.903960933282
179.9,-127.12074815857
180.12,-86.000292983057
180.34,130.09860623874
180.56,981.32153212271
180.78,100.782024872206
181,43.2030435194843
181.22,-104.286561333751
181.44,143.878923766817
181.66,15.0024414062477
181.89,-194.9951171875
182.11,33.3333333333333
182.33,66.9806757721634
182.55,-58.53711790393
182.77,28.1572959135296
182.99,62.7900374730313
183.21,85.9122481259894
183.43,12.0565165445954
183.65,10.6863969286391
183.87,1.11085491068396
184.09,154.790809671916
184.31,176.470869835803
184.53,15.3854179708694
184.76,-97.3012207192309
184.98,25.0000000000006
185.2,363.326009114584
185.42,82.7580400740848
185.64,-5.2253762343766
185.86,64.0339229879644
186.08,120.313572899977
186.3,21.1531238262178
186.52,111.111412527468
186.74,216.120648921086
186.96,-550.122100122125
187.18,-386.361114193765
187.4,318.330891927084
187.62,25.8926625103549
187.84,149.267557087463
188.06,22.8813208640243
188.28,884.9853515625
188.51,213.042247540866
188.73,-208.970546808975
188.95,44.8978574987543
189.17,182.1344493853
189.39,195.883080833416
189.61,-448.282539148001
189.83,-2.91315065895471
190.05,96.4961877837756
190.27,70.7878422121034
190.49,86.7047699689531
190.71,-126.47565704438
190.93,46.1540525313233
191.15,34.9694446108684
191.37,113.889140066913
191.59,44.9600666187218
191.81,-38.4600938967192
192.03,-778.964276535581
192.25,114.572623882025
192.47,110.204285002492
192.69,48.5548969799603
192.91,247.813395605568
193.13,-3296.58536585485
193.35,16.5834447729696
193.57,20.6937194813946
193.79,54.7178502879082
194.01,138.462316349085
194.23,29.0916354704586
194.45,25.3352864583328
194.67,68.0013281509409
194.89,-4.57908567381682
195.11,46.6657985969826
195.33,145.457235868598
195.55,22.6805940095645
195.77,-444.455747711091
195.99,30.8823265416031
196.21,6.08666114684782
196.43,-103.447477532465
196.65,61.4523234720464
196.87,139.587995930824
197.09,25.1800330206904
197.31,-53.7331924352302
197.53,48.1306971809296
