Thetas,H1_hollow_10layers_70-80-60-80nm,H1_full_10layers_80nm
25.7719849246,314.8,481.3
25.8278894472,314.8,481.2
25.8837939698,314.8,481.1
25.9396984925,314.7,481.1
25.9956030151,314.7,481
26.0515075377,314.6,480.9
26.1074120603,314.6,480.9
26.1633165829,314.6,480.8
26.2192211055,314.5,480.7
26.2751256281,314.5,480.7
26.3310301508,314.4,480.6
26.3869346734,314.4,480.5
26.442839196,314.4,480.4
26.4987437186,314.3,480.4
26.5546482412,314.3,480.3
26.6105527638,314.3,480.2
26.6664572864,314.2,480.2
26.722361809,314.2,480.1
26.7782663317,314.1,480
26.8341708543,314.1,479.9
26.8900753769,314.1,479.9
26.9459798995,314,479.8
27.0018844221,314,479.7
27.0577889447,313.9,479.7
27.1136934673,313.9,479.6
27.1695979899,313.9,479.5
27.2255025126,313.8,479.4
27.2814070352,313.8,479.4
27.3373115578,313.7,479.3
27.3932160804,313.7,479.2
27.449120603,313.7,479.1
27.5050251256,313.6,479.1
27.5609296482,313.6,479
27.6168341709,313.5,478.9
27.6727386935,313.5,478.9
27.7286432161,313.4,478.8
27.7845477387,313.4,478.7
27.8404522613,313.4,478.6
27.8963567839,313.3,478.6
27.9522613065,313.3,478.5
28.0081658291,313.2,478.4
28.0640703518,313.2,478.3
28.1199748744,313.2,478.3
28.175879397,313.1,478.2
28.2317839196,313.1,478.1
28.2876884422,313,478
28.3435929648,313,478
28.3994974874,313,477.9
28.4554020101,312.9,477.8
28.5113065327,312.9,477.7
28.5672110553,312.8,477.7
28.6231155779,312.8,477.6
28.6790201005,312.7,477.5
28.7349246231,312.7,477.4
28.7908291457,312.7,477.4
28.8467336683,312.6,477.3
28.902638191,312.6,477.2
28.9585427136,312.5,477.1
29.0144472362,312.5,477.1
29.0703517588,312.5,477
29.1262562814,312.4,476.9
29.182160804,312.4,476.8
29.2380653266,312.3,476.8
29.2939698492,312.3,476.7
29.3498743719,312.2,476.6
29.4057788945,312.2,476.5
29.4616834171,312.2,476.4
29.5175879397,312.1,476.4
29.5734924623,312.1,476.3
29.6293969849,312,476.2
29.6853015075,312,476.1
29.7412060302,312,476.1
29.7971105528,311.9,476
29.8530150754,311.9,475.9
29.908919598,311.8,475.8
29.9648241206,311.8,475.7
30.0207286432,311.7,475.7
30.0766331658,311.7,475.6
30.1325376884,311.7,475.5
30.1884422111,311.6,475.4
30.2443467337,311.6,475.3
30.3002512563,311.5,475.3
30.3561557789,311.5,475.2
30.4120603015,311.4,475.1
30.4679648241,311.4,475
30.5238693467,311.4,475
30.5797738693,311.3,474.9
30.635678392,311.3,474.8
30.6915829146,311.2,474.7
30.7474874372,311.2,474.6
30.8033919598,311.1,474.6
30.8592964824,311.1,474.5
30.915201005,311.1,474.4
30.9711055276,311,474.3
31.0270100503,311,474.2
31.0829145729,310.9,474.2
31.1388190955,310.9,474.1
31.1947236181,310.8,474
31.2506281407,310.8,473.9
31.3065326633,310.8,473.8
31.3624371859,310.7,473.7
31.4183417085,310.7,473.7
31.4742462312,310.6,473.6
31.5301507538,310.6,473.5
31.5860552764,310.5,473.4
31.641959799,310.5,473.3
31.6978643216,310.4,473.3
31.7537688442,310.4,473.2
31.8096733668,310.4,473.1
31.8655778894,310.3,473
31.9214824121,310.3,472.9
31.9773869347,310.2,472.8
32.0332914573,310.2,472.8
32.0891959799,310.1,472.7
32.1451005025,310.1,472.6
32.2010050251,310.1,472.5
32.2569095477,310,472.4
32.3128140704,310,472.3
32.368718593,309.9,472.3
32.4246231156,309.9,472.2
32.4805276382,309.8,472.1
32.5364321608,309.8,472
32.5923366834,309.7,471.9
32.648241206,309.7,471.8
32.7041457286,309.7,471.8
32.7600502513,309.6,471.7
32.8159547739,309.6,471.6
32.8718592965,309.5,471.5
32.9277638191,309.5,471.4
32.9836683417,309.4,471.3
33.0395728643,309.4,471.3
33.0954773869,309.3,471.2
33.1513819095,309.3,471.1
33.2072864322,309.3,471
33.2631909548,309.2,470.9
33.3190954774,309.2,470.8
33.375,309.1,470.7
33.4309045226,309.1,470.7
33.4868090452,309,470.6
33.5427135678,309,470.5
33.5986180905,308.9,470.4
33.6545226131,308.9,470.3
33.7104271357,308.9,470.2
33.7663316583,308.8,470.1
33.8222361809,308.8,470.1
33.8781407035,308.7,470
33.9340452261,308.7,469.9
33.9899497487,308.6,469.8
34.0458542714,308.6,469.7
34.101758794,308.5,469.6
34.1576633166,308.5,469.5
34.2135678392,308.5,469.4
34.2694723618,308.4,469.4
34.3253768844,308.4,469.3
34.381281407,308.3,469.2
34.4371859296,308.3,469.1
34.4930904523,308.2,469
34.5489949749,308.2,468.9
34.6048994975,308.1,468.8
34.6608040201,308.1,468.7
34.7167085427,308.1,468.7
34.7726130653,308,468.6
34.8285175879,308,468.5
34.8844221106,307.9,468.4
34.9403266332,307.9,468.3
34.9962311558,307.8,468.2
35.0521356784,307.8,468.1
35.108040201,307.7,468
35.1639447236,307.7,468
35.2198492462,307.6,467.9
35.2757537688,307.6,467.8
35.3316582915,307.6,467.7
35.3875628141,307.5,467.6
35.4434673367,307.5,467.5
35.4993718593,307.4,467.4
35.5552763819,307.4,467.3
35.6111809045,307.3,467.2
35.6670854271,307.3,467.1
35.7229899497,307.2,467.1
35.7788944724,307.2,467
35.834798995,307.2,466.9
35.8907035176,307.1,466.8
35.9466080402,307.1,466.7
36.0025125628,307,466.6
36.0584170854,307,466.5
36.114321608,306.9,466.4
36.1702261307,306.9,466.3
36.2261306533,306.8,466.2
36.2820351759,306.8,466.2
36.3379396985,306.7,466.1
36.3938442211,306.7,466
36.4497487437,306.7,465.9
36.5056532663,306.6,465.8
36.5615577889,306.6,465.7
36.6174623116,306.5,465.6
36.6733668342,306.5,465.5
36.7292713568,306.4,465.4
36.7851758794,306.4,465.3
36.841080402,306.3,465.2
36.8969849246,306.3,465.1
36.9528894472,306.3,465.1
37.0087939698,306.2,465
37.0646984925,306.2,464.9
37.1206030151,306.1,464.8
37.1765075377,306.1,464.7
37.2324120603,306,464.6
37.2883165829,306,464.5
37.3442211055,305.9,464.4
37.4001256281,305.9,464.3
37.4560301508,305.8,464.2
37.5119346734,305.8,464.1
37.567839196,305.8,464
37.6237437186,305.7,463.9
37.6796482412,305.7,463.8
37.7355527638,305.6,463.8
37.7914572864,305.6,463.7
37.847361809,305.5,463.6
37.9032663317,305.5,463.5
37.9591708543,305.4,463.4
38.0150753769,305.4,463.3
38.0709798995,305.4,463.2
38.1268844221,305.3,463.1
38.1827889447,305.3,463
38.2386934673,305.2,462.9
38.2945979899,305.2,462.8
38.3505025126,305.1,462.7
38.4064070352,305.1,462.6
38.4623115578,305,462.5
38.5182160804,305,462.4
38.574120603,304.9,462.3
38.6300251256,304.9,462.2
38.6859296482,304.9,462.1
38.7418341709,304.8,462.1
38.7977386935,304.8,462
38.8536432161,304.7,461.9
38.9095477387,304.7,461.8
38.9654522613,304.6,461.7
39.0213567839,304.6,461.6
39.0772613065,304.5,461.5
39.1331658291,304.5,461.4
39.1890703518,304.5,461.3
39.2449748744,304.4,461.2
39.300879397,304.4,461.1
39.3567839196,304.3,461
39.4126884422,304.3,460.9
39.4685929648,304.2,460.8
39.5244974874,304.2,460.7
39.5804020101,304.1,460.6
39.6363065327,304.1,460.5
39.6922110553,304,460.4
39.7481155779,304,460.3
39.8040201005,304,460.2
39.8599246231,303.9,460.1
39.9158291457,303.9,460
39.9717336683,303.8,459.9
40.027638191,303.8,459.8
40.0835427136,303.7,459.7
40.1394472362,303.7,459.6
40.1953517588,303.6,459.5
40.2512562814,303.6,459.4
40.307160804,303.6,459.3
40.3630653266,303.5,459.2
40.4189698492,303.5,459.1
40.4748743719,303.4,459.1
40.5307788945,303.4,459
40.5866834171,303.3,458.9
40.6425879397,303.3,458.8
40.6984924623,303.2,458.7
40.7543969849,303.2,458.6
40.8103015075,303.2,458.5
40.8662060302,303.1,458.4
40.9221105528,303.1,458.3
40.9780150754,303,458.2
41.033919598,303,458.1
41.0898241206,302.9,458
41.1457286432,302.9,457.9
41.2016331658,302.8,457.8
41.2575376884,302.8,457.7
41.3134422111,302.8,457.6
41.3693467337,302.7,457.5
41.4252512563,302.7,457.4
41.4811557789,302.6,457.3
41.5370603015,302.6,457.2
41.5929648241,302.5,457.1
41.6488693467,302.5,457
41.7047738693,302.5,456.9
41.760678392,302.4,456.8
41.8165829146,302.4,456.7
41.8724874372,302.3,456.6
41.9283919598,302.3,456.5
41.9842964824,302.2,456.4
42.040201005,302.2,456.3
42.0961055276,302.1,456.2
42.1520100503,302.1,456.1
42.2079145729,302.1,456
42.2638190955,302,455.9
42.3197236181,302,455.8
42.3756281407,301.9,455.7
42.4315326633,301.9,455.6
42.4874371859,301.8,455.5
42.5433417085,301.8,455.4
42.5992462312,301.8,455.3
42.6551507538,301.7,455.2
42.7110552764,301.7,455
42.766959799,301.6,454.9
42.8228643216,301.6,454.8
42.8787688442,301.5,454.7
42.9346733668,301.5,454.6
42.9905778894,301.4,454.5
43.0464824121,301.4,454.4
43.1023869347,301.4,454.3
43.1582914573,301.3,454.2
43.2141959799,301.3,454.1
43.2701005025,301.2,454
43.3260050251,301.2,453.9
43.3819095477,301.1,453.8
43.4378140704,301.1,453.7
43.493718593,301.1,453.6
43.5496231156,301,453.5
43.6055276382,301,453.4
43.6614321608,300.9,453.3
43.7173366834,300.9,453.2
43.773241206,300.8,453.1
43.8291457286,300.8,453
43.8850502513,300.8,452.9
43.9409547739,300.7,452.8
43.9968592965,300.7,452.7
44.0527638191,300.6,452.6
44.1086683417,300.6,452.5
44.1645728643,300.5,452.4
44.2204773869,300.5,452.3
44.2763819095,300.5,452.2
44.3322864322,300.4,452.1
44.3881909548,300.4,452
44.4440954774,300.3,451.9
44.5,300.3,451.8
44.5559045226,300.3,451.6
44.6118090452,300.2,451.5
44.6677135678,300.2,451.4
44.7236180905,300.1,451.3
44.7795226131,300.1,451.2
44.8354271357,300,451.1
44.8913316583,300,451
44.9472361809,300,450.9
45.0031407035,300,450.8
45.0590452261,300,450.7
45.1149497487,300,450.6
45.1708542714,300,450.5
45.226758794,300,450.4
45.2826633166,300,450.3
45.3385678392,300,450.2
45.3944723618,300,450.1
45.4503768844,300,450
45.506281407,300,449.9
45.5621859296,300,449.8
45.6180904523,300,449.7
45.6739949749,300,449.5
45.7298994975,300,449.4
45.7858040201,300,449.3
45.8417085427,300,449.2
45.8976130653,300,449.1
45.9535175879,300,449
46.0094221106,300,448.9
46.0653266332,300,448.8
46.1212311558,300,448.7
46.1771356784,300,448.6
46.233040201,300,448.5
46.2889447236,300,448.4
46.3448492462,300,448.3
46.4007537688,300,448.2
46.4566582915,300,448.1
46.5125628141,300,448
46.5684673367,300,447.9
46.6243718593,300,447.7
46.6802763819,300,447.6
46.7361809045,300,447.5
46.7920854271,300,447.4
46.8479899497,300,447.3
46.9038944724,300,447.2
46.959798995,300,447.1
47.0157035176,300,447
47.0716080402,300,446.9
47.1275125628,300,446.8
47.1834170854,300,446.7
47.239321608,300,446.6
47.2952261307,300,446.5
47.3511306533,300,446.3
47.4070351759,300,446.2
47.4629396985,300,446.1
47.5188442211,300,446
47.5747487437,300,445.9
47.6306532663,300,445.8
47.6865577889,300,445.7
47.7424623116,300,445.6
47.7983668342,300,445.5
47.8542713568,300,445.4
47.9101758794,300,445.3
47.966080402,300,445.2
48.0219849246,300,445.1
48.0778894472,300,444.9
48.1337939698,300,444.8
48.1896984925,300,444.7
48.2456030151,300,444.6
48.3015075377,300,444.5
48.3574120603,300,444.4
48.4133165829,300,444.3
48.4692211055,300,444.2
48.5251256281,300,444.1
48.5810301508,300,444
48.6369346734,300,443.9
48.692839196,300,443.8
48.7487437186,300,443.6
48.8046482412,300,443.5
48.8605527638,300,443.4
48.9164572864,300,443.3
48.972361809,300,443.2
49.0282663317,300,443.1
49.0841708543,300,443
49.1400753769,300,442.9
49.1959798995,300,442.8
49.2518844221,300,442.7
49.3077889447,300,442.6
49.3636934673,300,442.4
49.4195979899,300,442.3
49.4755025126,300,442.2
49.5314070352,300,442.1
49.5873115578,300,442
49.6432160804,300,441.9
49.699120603,300,441.8
49.7550251256,300,441.7
49.8109296482,300,441.6
49.8668341709,300,441.5
49.9227386935,300,441.3
49.9786432161,300,441.2
50.0345477387,300,441.1
50.0904522613,700,441
50.1463567839,700,440.9
50.2022613065,700,440.8
50.2581658291,700,440.7
50.3140703518,700,440.6
50.3699748744,700,440.5
50.425879397,700,440.4
50.4817839196,700,440.2
50.5376884422,700,440.1
50.5935929648,700,440
50.6494974874,700,439.9
50.7054020101,700,439.8
50.7613065327,700,439.7
50.8172110553,700,439.6
50.8731155779,700,439.5
50.9290201005,700,439.4
50.9849246231,700,439.3
51.0408291457,700,439.1
51.0967336683,700,439
51.152638191,700,438.9
51.2085427136,700,438.8
51.2644472362,700,438.7
51.3203517588,700,438.6
51.3762562814,700,438.5
51.432160804,700,438.4
51.4880653266,700,438.3
51.5439698492,700,438.2
51.5998743719,700,438
51.6557788945,700,437.9
51.7116834171,700,437.8
51.7675879397,700,437.7
51.8234924623,700,437.6
51.8793969849,700,437.5
51.9353015075,700,437.4
51.9912060302,700,437.3
52.0471105528,700,437.2
52.1030150754,700,437
52.158919598,700,436.9
52.2148241206,700,436.8
52.2707286432,700,436.7
52.3266331658,700,436.6
52.3825376884,700,436.5
52.4384422111,700,436.4
52.4943467337,700,436.3
52.5502512563,700,436.2
52.6061557789,700,436.1
52.6620603015,700,435.9
52.7179648241,700,435.8
52.7738693467,700,435.7
52.8297738693,700,435.6
52.885678392,700,435.5
52.9415829146,700,435.4
52.9974874372,700,435.3
53.0533919598,700,435.2
53.1092964824,700,435.1
53.165201005,700,434.9
53.2211055276,700,434.8
53.2770100503,700,434.7
53.3329145729,700,434.6
53.3888190955,700,434.5
53.4447236181,700,434.4
53.5006281407,700,434.3
53.5565326633,700,434.2
53.6124371859,700,434.1
53.6683417085,700,433.9
53.7242462312,700,433.8
53.7801507538,700,433.7
53.8360552764,700,433.6
53.891959799,700,433.5
53.9478643216,700,433.4
54.0037688442,700,433.3
54.0596733668,700,433.2
54.1155778894,700,433.1
54.1714824121,700,433
54.2273869347,700,432.8
54.2832914573,700,432.7
54.3391959799,700,432.6
54.3951005025,700,432.5
