Thetas,B2_hollow_5layers_80nm,B2_hollow_10layers_100nm,B2_full_10layers_80nm,B2_hollow_10layers_70-80-60-80nm
13.4729899497,0.2054432812,0.2046180609,0.0800289092,0.1609594411
13.5288944724,0.2053929902,0.2045679665,0.0800131715,0.1609169156
13.584798995,0.2053425177,0.204517666,0.0799973736,0.16087421
13.6407035176,0.2052918638,0.2044671592,0.0799815158,0.1608313239
13.6966080402,0.2052410287,0.204416446,0.0799655983,0.1607882572
13.7525125628,0.2051900125,0.2043655261,0.0799496214,0.1607450099
13.8084170854,0.2051388154,0.2043143996,0.0799335853,0.1607015817
13.864321608,0.2050874375,0.2042630661,0.0799174902,0.1606579724
13.9202261307,0.2050358791,0.2042115257,0.0799013364,0.160614182
13.9761306533,0.2049841402,0.204159778,0.0798851241,0.1605702102
14.0320351759,0.204932221,0.204107823,0.0798688537,0.1605260569
14.0879396985,0.2048801216,0.2040556605,0.0798525253,0.1604817218
14.1438442211,0.2048278422,0.2040032903,0.0798361392,0.160437205
14.1997487437,0.2047753829,0.2039507124,0.0798196957,0.1603925061
14.2556532663,0.2047227439,0.2038979264,0.0798031952,0.1603476251
14.3115577889,0.2046699252,0.2038449323,0.0797866378,0.1603025617
14.3674623116,0.2046169271,0.2037917299,0.0797700238,0.1602573158
14.4233668342,0.2045637496,0.2037383191,0.0797533537,0.1602118873
14.4792713568,0.2045103928,0.2036846996,0.0797366275,0.160166276
14.5351758794,0.204456857,0.2036308714,0.0797198458,0.1601204817
14.591080402,0.2044031421,0.2035768342,0.0797030087,0.1600745043
14.6469849246,0.2043492484,0.2035225879,0.0796861165,0.1600283436
14.7028894472,0.2042951759,0.2034681323,0.0796691697,0.1599819995
14.7587939698,0.2042409247,0.2034134674,0.0796521685,0.1599354718
14.8146984925,0.2041864949,0.2033585928,0.0796351132,0.1598887603
14.8706030151,0.2041318867,0.2033035085,0.0796180043,0.159841865
14.9265075377,0.2040771001,0.2032482142,0.079600842,0.1597947856
14.9824120603,0.2040221353,0.2031927099,0.0795836266,0.1597475221
15.0383165829,0.2039669922,0.2031369954,0.0795663586,0.1597000742
15.0942211055,0.2039116711,0.2030810704,0.0795490382,0.1596524418
15.1501256281,0.203856172,0.2030249349,0.0795316659,0.1596046249
15.2060301508,0.203800495,0.2029685888,0.079514242,0.1595566231
15.2619346734,0.2037446401,0.2029120317,0.0794967669,0.1595084365
15.317839196,0.2036886075,0.2028552636,0.079479241,0.1594600649
15.3737437186,0.2036323972,0.2027982844,0.0794616646,0.1594115081
15.4296482412,0.2035760092,0.2027410939,0.0794440382,0.1593627661
15.4855527638,0.2035194437,0.2026836918,0.0794263621,0.1593138386
15.5414572864,0.2034627007,0.2026260782,0.0794086367,0.1592647256
15.597361809,0.2034057803,0.2025682528,0.0793908625,0.159215427
15.6532663317,0.2033486825,0.2025102155,0.0793730399,0.1591659426
15.7091708543,0.2032914073,0.2024519661,0.0793551692,0.1591162723
15.7650753769,0.2032339549,0.2023935046,0.079337251,0.1590664161
15.8209798995,0.2031763253,0.2023348307,0.0793192855,0.1590163737
15.8768844221,0.2031185184,0.2022759444,0.0793012734,0.1589661452
15.9327889447,0.2030605344,0.2022168455,0.0792832149,0.1589157304
15.9886934673,0.2030023733,0.2021575339,0.0792651107,0.1588651292
16.0445979899,0.2029440351,0.2020980094,0.079246961,0.1588143415
16.1005025126,0.2028855199,0.202038272,0.0792287665,0.1587633673
16.1564070352,0.2028268276,0.2019783215,0.0792105274,0.1587122065
16.2123115578,0.2027679584,0.2019181578,0.0791922444,0.158660859
16.2682160804,0.2027089121,0.2018577808,0.0791739179,0.1586093247
16.324120603,0.2026496889,0.2017971904,0.0791555484,0.1585576036
16.3800251256,0.2025902887,0.2017363865,0.0791371364,0.1585056956
16.4359296482,0.2025307115,0.201675369,0.0791186824,0.1584536006
16.4918341709,0.2024709574,0.2016141378,0.0791001868,0.1584013186
16.5477386935,0.2024110263,0.2015526928,0.0790816502,0.1583488496
16.6036432161,0.2023509183,0.201491034,0.0790630732,0.1582961936
16.6595477387,0.2022906333,0.2014291611,0.0790444561,0.1582433504
16.7154522613,0.2022301714,0.2013670743,0.0790257997,0.1581903201
16.7713567839,0.2021695325,0.2013047734,0.0790071043,0.1581371027
16.8272613065,0.2021087166,0.2012422583,0.0789883706,0.1580836981
16.8831658291,0.2020477236,0.201179529,0.078969599,0.1580301064
16.9390703518,0.2019865537,0.2011165854,0.0789507902,0.1579763275
16.9949748744,0.2019252066,0.2010534275,0.0789319448,0.1579223615
17.050879397,0.2018636825,0.2009900553,0.0789130631,0.1578682083
17.1067839196,0.2018019812,0.2009264687,0.078894146,0.1578138681
17.1626884422,0.2017401028,0.2008626677,0.0788751939,0.1577593407
17.2185929648,0.2016780472,0.2007986523,0.0788562073,0.1577046264
17.2744974874,0.2016158143,0.2007344224,0.078837187,0.1576497251
17.3304020101,0.2015534041,0.2006699781,0.0788181336,0.1575946369
17.3863065327,0.2014908166,0.2006053194,0.0787990475,0.1575393618
17.4422110553,0.2014280517,0.2005404462,0.0787799295,0.1574838999
17.4981155779,0.2013651093,0.2004753586,0.0787607801,0.1574282514
17.5540201005,0.2013019894,0.2004100566,0.0787416,0.1573724162
17.6099246231,0.2012386919,0.2003445402,0.0787223898,0.1573163945
17.6658291457,0.2011752168,0.2002788096,0.0787031502,0.1572601864
17.7217336683,0.201111564,0.2002128647,0.0786838818,0.1572037921
17.777638191,0.2010477333,0.2001467055,0.0786645852,0.1571472116
17.8335427136,0.2009837249,0.2000803322,0.0786452612,0.1570904451
17.8894472362,0.2009195384,0.2000137449,0.0786259103,0.1570334927
17.9453517588,0.200855174,0.1999469435,0.0786065333,0.1569763546
18.0012562814,0.2007906315,0.1998799283,0.0785871308,0.156919031
18.057160804,0.2007259107,0.1998126993,0.0785677036,0.156861522
18.1130653266,0.2006610117,0.1997452566,0.0785482523,0.1568038279
18.1689698492,0.2005959343,0.1996776004,0.0785287776,0.1567459488
18.2248743719,0.2005306784,0.1996097307,0.0785092802,0.1566878849
18.2807788945,0.2004652439,0.1995416477,0.0784897608,0.1566296365
18.3366834171,0.2003996307,0.1994733516,0.0784702203,0.1565712038
18.3925879397,0.2003338388,0.1994048426,0.0784506592,0.156512587
18.4484924623,0.200267868,0.1993361208,0.0784310783,0.1564537864
18.5043969849,0.2002017181,0.1992671863,0.0784114783,0.1563948023
18.5603015075,0.2001353892,0.1991980394,0.0783918601,0.1563356349
18.6162060302,0.200068881,0.1991286803,0.0783722243,0.1562762846
18.6721105528,0.2000021935,0.1990591093,0.0783525718,0.1562167516
18.7280150754,0.1999353265,0.1989893264,0.0783329032,0.1561570363
18.783919598,0.1998682798,0.198919332,0.0783132194,0.1560971389
18.8398241206,0.1998010535,0.1988491264,0.0782935211,0.1560370599
18.8957286432,0.1997336473,0.1987787097,0.0782738092,0.1559767996
18.9516331658,0.1996660611,0.1987080823,0.0782540844,0.1559163583
19.0075376884,0.1995982948,0.1986372444,0.0782343474,0.1558557364
19.0634422111,0.1995303483,0.1985661963,0.0782145992,0.1557949344
19.1193467337,0.1994622214,0.1984949385,0.0781948406,0.1557339525
19.1752512563,0.1993939139,0.198423471,0.0781750722,0.1556727914
19.2311557789,0.1993254258,0.1983517944,0.0781552951,0.1556114513
19.2870603015,0.1992567568,0.198279909,0.0781355099,0.1555499328
19.3429648241,0.1991879069,0.1982078151,0.0781157177,0.1554882362
19.3988693467,0.1991188758,0.198135513,0.078095919,0.1554263622
19.4547738693,0.1990496635,0.1980630032,0.078076115,0.1553643111
19.510678392,0.1989802698,0.1979902862,0.0780563063,0.1553020834
19.5665829146,0.1989106945,0.1979173621,0.0780364939,0.1552396798
19.6224874372,0.1988409375,0.1978442317,0.0780166786,0.1551771007
19.6783919598,0.1987709987,0.1977708951,0.0779968613,0.1551143466
19.7342964824,0.1987008778,0.197697353,0.077977043,0.1550514182
19.790201005,0.1986305747,0.1976236057,0.0779572243,0.154988316
19.8461055276,0.1985600892,0.1975496538,0.0779374064,0.1549250406
19.9020100503,0.1984894212,0.1974754977,0.07791759,0.1548615927
19.9579145729,0.1984185706,0.1974011379,0.0778977761,0.1547979727
20.0138190955,0.1983475371,0.1973265751,0.0778779656,0.1547341815
20.0697236181,0.1982763206,0.1972518096,0.0778581594,0.1546702196
20.1256281407,0.1982049209,0.1971768421,0.0778383584,0.1546060877
20.1815326633,0.1981333379,0.197101673,0.0778185636,0.1545417865
20.2374371859,0.1980615713,0.1970263031,0.0777987759,0.1544773166
20.2933417085,0.1979896211,0.1969507328,0.0777789962,0.1544126789
20.3492462312,0.1979174871,0.1968749628,0.0777592255,0.1543478741
20.4051507538,0.197845169,0.1967989937,0.0777394648,0.1542829028
20.4610552764,0.1977726667,0.1967228261,0.0777197149,0.1542177659
20.516959799,0.1976999801,0.1966464607,0.0776999769,0.1541524641
20.5728643216,0.197627109,0.1965698981,0.0776802518,0.1540869983
20.6287688442,0.1975540531,0.196493139,0.0776605404,0.1540213692
20.6846733668,0.1974808124,0.1964161841,0.0776408439,0.1539555777
20.7405778894,0.1974073867,0.1963390341,0.0776211631,0.1538896246
20.7964824121,0.1973337757,0.1962616896,0.077601499,0.1538235107
20.8523869347,0.1972599794,0.1961841515,0.0775818528,0.1537572371
20.9082914573,0.1971859975,0.1961064205,0.0775622253,0.1536908045
20.9641959799,0.19711183,0.1960284973,0.0775426176,0.1536242139
21.0201005025,0.1970374765,0.1959503826,0.0775230306,0.1535574661
21.0760050251,0.1969629369,0.1958720774,0.0775034655,0.1534905622
21.1319095477,0.1968882112,0.1957935823,0.0774839231,0.1534235031
21.1878140704,0.1968132991,0.1957148982,0.0774644047,0.1533562897
21.243718593,0.1967382004,0.1956360259,0.0774449111,0.1532889231
21.2996231156,0.196662915,0.1955569662,0.0774254434,0.1532214042
21.3555276382,0.1965874427,0.1954777201,0.0774060027,0.1531537342
21.4114321608,0.1965117834,0.1953982882,0.07738659,0.1530859139
21.4673366834,0.1964359368,0.1953186716,0.0773672063,0.1530179446
21.523241206,0.196359903,0.1952388712,0.0773478528,0.1529498271
21.5791457286,0.1962836816,0.1951588877,0.0773285304,0.1528815628
21.6350502513,0.1962072725,0.1950787222,0.0773092402,0.1528131525
21.6909547739,0.1961306756,0.1949983755,0.0772899833,0.1527445975
21.7468592965,0.1960538908,0.1949178486,0.0772707608,0.1526758989
21.8027638191,0.1959769178,0.1948371425,0.0772515738,0.1526070579
21.8586683417,0.1958997565,0.194756258,0.0772324233,0.1525380755
21.9145728643,0.1958224069,0.1946751962,0.0772133103,0.152468953
21.9704773869,0.1957448687,0.1945939581,0.0771942361,0.1523996916
22.0263819095,0.1956671418,0.1945125447,0.0771752016,0.1523302925
22.0822864322,0.1955892261,0.1944309569,0.077156208,0.152260757
22.1381909548,0.1955111214,0.1943491958,0.0771372564,0.1521910861
